favorite_count,full_text,hashtags,retweet_count,year,party_id
2,"b""Great @nytimes piece on the opening of LI's first #BAPS Hindu Temple in #Melville. Exciting news for our community https://t.co/Xq9IcJ3J90""",BAPS Melville,0,2016,D
0,b'Today\xe2\x80\x99s #thirddistrictthursday features the Barfield community.  I see signs of spring! #AL03 https://t.co/eDC6vndtNz',thirddistrictthursday AL03,0,2019,R
168,b'It\xe2\x80\x99s time to #DefundPP. http://t.co/lJHhJTDcJv http://t.co/UDLhVJwyTn',DefundPP,200,2015,R
11,b'Nice ceremony in East Troy today honoring our fallen heroes. #MemorialDay2020 https://t.co/UnfUwF7Ws0',MemorialDay2020,3,2020,R
29,"b'.@jimmykimmel, I hate to be the one to say it, but every Clark Charger should know #GonzagaExists! @SenatorCantwell,  @CathyMcMorris and I challenge you to visit Gonzaga! https://t.co/xKIlgKlbHt'",GonzagaExists,7,2019,D
14915,b'We denounce the arbitrary detention of #NationalAssembly President @jguaido by Venezuelan Intelligence Chief Manuel Cristopher Figuera. We call on security forces to uphold the constitution and rights of the Venezuelan people. The U.S. and world are watching.',NationalAssembly,8805,2019,R
10,b'.@SenateGOP hid their #Trumpcare bill but the result is no secret: higher costs and strips health care from millions. #ProtectOurCare',Trumpcare ProtectOurCare,6,2017,D
1527,b'Preparing for the hearing on Wednesday #Mueller #FollowTheFacts https://t.co/sohIGrkOL3',Mueller FollowTheFacts,216,2019,D
3,b'\xf0\x9f\x9a\xa8 The 2020 #CongressionalArtCompetition has officially kicked off! \xf0\x9f\x9a\xa8 \n\nThe winning piece will be displayed in the U.S. Capitol art tunnel for 1 year. Looking forward to seeing the submissions from around #SC03.\n\nMore details \xe2\x9e\xa1\xef\xb8\x8f https://t.co/YGPOnW557r https://t.co/520EF8ACuF',CongressionalArtCompetition SC03,2,2020,R
7,"b'I always appreciate being able to provide an update to \n@UNTsocial board members. It was insightful, yesterday, to hear their concerns about the effect #COVID19 has had on the university and how UNT is working to protect its students and faculty as they reopen in the fall.'",COVID19,2,2020,R
2,b'Great to have @mortonpmpknfest right here in #IL18 https://t.co/mxM0k62vyE',IL18,0,2016,R
2,"b""I'm in Concord NH today w/ @RepAnnieKuster  and @RepMikeCoffman at House Veterans Committee field hearing #veterans""",veterans,2,2016,R
0,"b'As a frmr @PeaceCorps vol, it is great news to hear that they will allow same-sex partners to serve together #LGBT http://t.co/szZJcnM42t'",LGBT,5,2013,D
171,"b'Today, I returned from spending my holiday week visiting our outstanding troops in Kuwait, Bahrain, and Qatar. As we spend time with our loved ones this holiday season, may we all reflect on their sacrifice and honor them with acts of service in our own communities. #MN03 https://t.co/S8SbDA3bCI'",MN03,21,2019,D
7,"b'Today, Peoria\xe2\x80\x99s first expanded COVID-19 testing site opens. Testing is essential in navigating the #coronavirus. I\xe2\x80\x99m thankful to Reditus Laboratories, Heartland Health Services, and @GovPritzker for their commitment to the safety of our communities. \nhttps://t.co/fSuFHLBdss'",coronavirus,2,2020,D
8,"b""Last year, 1.4 million people enrolled in a @CoveredCA plan. Let's build on that progress in 2018. Visit https://t.co/90fsIW1973 to #GetCovered today. https://t.co/mlhXNHhlAp""",GetCovered,6,2017,D
2,"b""ICYMI: my @CNN segment: Given Russia's hand in #MH17 tragedy, US/Europe must step up economic sanctions on #Russia. http://t.co/rrKf1Tr855""",MH17 Russia,4,2014,D
11,"b'Will meet with @LouisianaGov to discuss non-federal funding match and some of the additional $1,200,000,000 in federal flood protection funding can benefit our region.  #nomoreflooding'",nomoreflooding,2,2019,R
60,b'Spot checked an impressive #Hemp crop in Harrison Co 2day w/Brian Furnish. KY is the leading state in Hemp Production http://t.co/CuQxcOB9B0',Hemp,31,2015,R
7,"b""Spring is here and it's a great time to visit Washington. Visit https://t.co/nJbV4j57pJ to request a tour. #TX29 https://t.co/aTrnnP5EtY""",TX29,0,2017,D
18,"b'Today, I joined the @SenWestCaucus in urging robust forest management reforms, which I believe will help reduce the risk &amp; severity of devastating #wildfires in #NV. Learn more here: https://t.co/NnUFec1iGr'",wildfires NV,7,2018,R
0,b'Press conference going on now on #expansion of #PortofSavannah. Watch by clicking link.  #Georgiaeconomy #gagop #gapol \nhttp://t.co/ocx2Gade',expansion PortofSavannah Georgiaeconomy gagop gapol,0,2012,R
4,b'Good to hear #FL17\xe2\x80\x99s biggest employer is also a great place to work! @Publix https://t.co/gBXUo3cKq0',FL17,0,2018,R
66,"b'\xf0\x9f\x9a\xa8 THREAD: Today, I couldn\xe2\x80\x99t be prouder to have pushed to include #MN02 priorities in the package that passed with overwhelming bipartisan support, including:'",MN02,11,2019,D
4,"b'Thank you to the many strong small businesses of #PA07 that are an integral part of our lives, our communities, and my personal journey to Congress.'",PA07,0,2019,D
1079,b'Happy #NationalDogDay! \xf0\x9f\x90\xb6 https://t.co/MXqeFgghTQ',NationalDogDay,119,2019,R
1994,"b'Mr. President, withholding congressionally authorized funds to thwart Russian aggression in Ukraine, while your personal attorney confers with Ukrainian officials to get dirt on a political opponent, is an impeachable abuse of power. #ImpeachNow'",ImpeachNow,588,2019,D
10,"b'Spent the morning at @WAStateFair with CEO Kent checking out the Farm at Sillyville. The Farm is a great way for children (of all ages!) to learn about the importance of agriculture and where our food comes from. With just two days left, make sure you #PartyBigWA &amp; #DoThePuyallup https://t.co/9CgY0tFPzo'",PartyBigWA DoThePuyallup,2,2018,D
11,"b""Taking over dad's Twitter to wish him a #HappyFathersDay! (HACKED BY @acdaines) https://t.co/RIFjhlH3f1""",HappyFathersDay,0,2016,R
0,b'AG Subcmte on General Farm Commodities & Risk Management public hearing about to get underway. #tx11',tx11,0,2011,R
1,b'Talking with @CindyGravesFL on @600WBOB at 1:30 on Benghazi and my continued fight to hold #IRS accountable to American taxpayers. Tune in!',IRS,1,2014,R
257,"b'Brought this veteran with me today. LCDR Lesley Hawley, MD (US Navy). Proud of her! #mosen https://t.co/x2h7SDwZtz'",mosen,77,2018,R
0,"b'Although the #debtlimit deal has passed the House and Senate, it is not too late to tell me what you think http://goo.gl/BDEvS'",debtlimit,0,2011,R
30,"b'Thinking of my wife, sisters, daughters and granddaughters. I remember my mom and aunts. I am because they are. #InternationalWomensDay'",InternationalWomensDay,5,2017,D
7,b'Thx @RepWilson for your tireless efforts to bring home the 218 Nigerian girls taken by Boko Haram #BringBackOurGirls https://t.co/OaBIHaxuUf',BringBackOurGirls,4,2016,D
0,b'@jeffmervis RT to show your support for @RepBillFoster and @RepMarkTakano\xe2\x80\x99s resolution to make Dec.3 National #3DPrinting Day.',3DPrinting,0,2014,D
47,"b'I will be live at 8 am ET, 5 am PT to talk about my legislation, #MeTooCongress and answer your questions! https://t.co/uDFoyoDQ96'",MeTooCongress,12,2017,D
41076,"b'As we learned during Adam Schiff\xe2\x80\x99s sham #impeachment, Joe Biden used his official position as Vice President to prop up his son\xe2\x80\x99s business deals.\n\nNow the question is this:\n\nDid he lie about it?'",impeachment,14774,,R
1,"b'.@UNDP says #climatechange could ""reverse human development progress in the world\xe2\x80\x99s poorest countries and communities\xe2\x80\x9d #ActonClimate (3/3)'",climatechange ActonClimate,0,2014,D
5,b'Congrats to Bangor HS senior Paige Brown for qualifying as a finalist for the #IntelSTS this year! https://t.co/P6OkElm0ig',IntelSTS,3,2016,R
12,b'So great visiting w @JohnCornyn &amp; @billmcraven at #MDAnderson75 anniversary! @MDAndersonNews @HoustonChron @TexasExes @utsystem #endcancer https://t.co/FcAWfGu8cQ',MDAnderson75 endcancer,1,2016,R
17,b'This is so cool! Another way to discover wild and wonderful West Virginia! #AlmostHeaven https://t.co/IgvfBBODKJ',AlmostHeaven,5,,R
18,"b""As a mother, I can't overstate the importance of making our children feel safe at school. It's great to hear that several #VA02 schools were awarded grant funding for security equipment. Schools must remain safe environments where children can learn. \nhttps://t.co/kUlEzegj3M""",VA02,6,2019,D
2563,b'Editorial boards across the country are telling Senate leaders: #DoYourJob. https://t.co/WUkeoDslbp',DoYourJob,831,2016,D
3,"b'Because of ObamaCare, small businesses in #TX have experienced a 19.7% premium increase resulting in 29,885 lost jobs.http://t.co/0p4uhz5jUG'",TX,16,2014,R
312,b'Joining Rs &amp; Ds in hearing from the leader of one of our strongest allies: @netanyahu\n\n#StandWithIsrael http://t.co/JOO6AproUB',StandWithIsrael,297,2015,R
6,"b'Today, we remember those who paid the ultimate price defending freedom. We owe them everything. #memorialday'",memorialday,8,2013,R
41,b'Mi amiga Wendy Rothfield is an advocate for Jewish values in our #SoFla community. She escaped w her family from their hometown in Vienna during the #Anschluss. The #Nazis had made life unbearable for them as people were told not to do business with #Jews. #WeRemember https://t.co/onCOWHPmAL',SoFla Anschluss Nazis Jews WeRemember,13,2018,R
26,b'House just passed BIPARTISAN bill to repeal #IPAB &amp;protect seniors from bureaucratic cuts. Proud to cosponsor #HR849 https://t.co/ynBQoDPssz',IPAB HR849,11,2017,R
3,b'Happy #NationalSelfieDay! https://t.co/Um9GTsC7y8',NationalSelfieDay,0,2016,D
2,"b'Our plan will lower cost of care, put you in control, &amp; offer more options to let you choose what\xe2\x80\x99s best for you &amp; your fam. #readthebill'",readthebill,0,2017,R
19,"b""My view right now. With any luck, and common sense, we'll have a deal by tomorrow to end the #shutdown http://t.co/PGUp398usa""",shutdown,39,2013,R
11,b'Climate justice is our right. The #GreenNewDeal is our fight!\n\nICYMI @NYCSchools is leading our fight for a greener future by rightfully excusing absences for young climate activists attending the 9/20 #ClimateStrike \xf0\x9f\x8c\x8e\n\nhttps://t.co/0c5hsb8mHR',GreenNewDeal ClimateStrike,5,2019,D
3396,"b'I\xe2\x80\x99m at the D.C. Circuit Court where the case to save #NetNeutrality is getting its day in court. Whether in the courts or in the halls of Congress, we will fight to defend the free and open internet. https://t.co/w2xwfHSPcw'",NetNeutrality,1163,2019,D
3,b'Sixty percent of middle-class undergrads will see their #StudentLoan rates double under @SenatorReid\xe2\x80\x99s plan. #DontDoubleMyRates',StudentLoan DontDoubleMyRates,29,2013,R
3,b'U.S. Senate Launches Probe of National Science Foundation climate grants! #ClimateChange #NSF https://t.co/2I8M8x6xHt https://t.co/6JRe4JmaMx',ClimateChange NSF,2,2018,R
0,"b""RT @EnergyCommerce: Happy #GroundhogDay! The GOP has been trying to sabotage the #ACA for 7 years, and they still don't have a replacement\xe2\x80\xa6""",GroundhogDay ACA,112,2017,D
2,b'Harsh weather &amp; possible coastal flooding expected this weekend in NJ. Stay safe and up-to-date on latest. #ReadyNJ https://t.co/r8zGCDQbQC',ReadyNJ,3,2016,R
68,"b""PFAS contamination &amp; exposure threatens #MI families &amp; communities. I'm pressing for federal support in the upcoming gov't funding bill to address this crisis, so Michiganders can access safe drinking water &amp; we can implement clean-up &amp; prevention efforts.https://t.co/XeMWEctZAp""",MI,22,,D
13,"b'RELEASE: Post-#SOTU Response: POTUS Doing What He Does Best, Campaigning https://t.co/xIAyHlfi7I'",SOTU,5,2016,R
8,"b""Did you know that 99% of businesses in Illinois are small businesses? In honor of #NationalSmallBusinessWeek, I want to recognize the small businesses that are responsible for fueling our state's economy. https://t.co/bI38bgtK5W""",NationalSmallBusinessWeek,3,2019,D
0,b'ICYMI: My bill to protect #ReligiousFreedom for adoption agencies \xe2\x80\x94 the #InclusionAct \xe2\x80\x94 featured in @TheHill: http://t.co/s5wmvfrOaR #1A',ReligiousFreedom InclusionAct 1A,1,2015,R
14,"b'I will be back in #DC this week for the start of the 2020 legislative year. We have lots of work to do -- infrastructure, supporting our public schools, and making healthcare more affordable are at the top of my list.\n \nWhat do you want Congress to focus on this year?'",DC,2,2020,D
3,"b""#TX25 - don't forget to change your clocks before heading to bed tonight!\n\nhttps://t.co/uMo7RexQOu""",TX25,0,2019,R
1,"b'As we continue to work through constrained defense budgets, we must ensure that our obligations to #military families are met. #CMFCSummit'",military CMFCSummit,2,2015,D
25,"b'.@HouseGOP just passed the #GOPTaxScam again \xe2\x80\x94 raising taxes on the middle class to pay for a deficit-exploding giveaway to big corporations &amp; billionaires. \n\nIn my 17 years in the U.S. House, I have seen few pieces of legislation as devastating as this bad bill. https://t.co/bVrgC2gXS1'",GOPTaxScam,18,2017,D
0,"b""RT @HTDCorg: Don't forget to register for #WetWareWed ! June 11th, launching the Startup Paradise Demo Day and the Energy... http://t.co/Qf\xe2\x80\xa6""",WetWareWed,3,2014,D
10,"b'The #LowerHealthCareCosts Act, which @PattyMuray and I proposed, will reduce what the American people pay out of their own pockets for health care by ending surprise billing, creating more transparency and increasing competition to bring down drug costs. https://t.co/kPo3d6kGhh'",LowerHealthCareCosts,4,2019,R
21,b'The President frequently dismisses the work of his own scientists. Now the administration is creating a committee to study if #climatechange threatens national security &amp; is stacking it with climate deniers. Unacceptable. We must #DefendScience.  https://t.co/gUOY8QsU6c',climatechange DefendScience,9,2019,D
15,b'Holocaust Remembrance Day is a reminder of our failure to address racism and discrimination that still lives on today. The 6 million victims of the Holocaust and the lessons from their fate should never be forgotten. #WeRemember https://t.co/pe5KDjeAGN',WeRemember,4,2019,D
0,"b""RT @ALZJenniferP: We've got over 100 members of the House as cosponsors on the #YoungerAlzAct and a quarter of the Senate! Thank you @RepKa\xe2\x80\xa6""",YoungerAlzAct,2,2019,D
3,"b""Members of the tribal and medical communities weighed in today on my #HEALTTHAct. Read what they're saying &gt;&gt;&gt; https://t.co/W2bKcVPDjG""",HEALTTHAct,3,2016,R
399,"b"".@RepAdamSchiff explains: It's not contested what the president did. The only question is whether there will be anyone on the Republican side who will put their duty to the Constitution first. #DefendOurDemocracy https://t.co/dpa1IDtGKl""",DefendOurDemocracy,137,2019,D
51,"b'In studio with @IngrahamAngle tonight to discuss what families and small businesses need in the #COVID2019 federal assistance package, ideas for bringing drugs to treat and vaccines to prevent #coronavirus to market faster, and how we can all slow the spread of the outbreak.'",COVID2019 coronavirus,11,2020,R
0,b'heading to roundtable discussion on #manufacturing in US. How can we grow the manufacturing sector? Watch live webcast: http://t.co/1pyonbfM',manufacturing,0,2012,R
117,b'This is something we can agree on: domestic abusers should not be able to buy a gun. #DomesticViolenceLoophole https://t.co/s971topT78',DomesticViolenceLoophole,38,2017,D
26,b'Are you voting for #Bread or #Butter? The National Thanksgiving Turkey Pardoning is today! #HappyThanksgivingWeek https://t.co/jEjQSblLbZ',Bread Butter HappyThanksgivingWeek,9,2019,R
1963,"b""\xe2\x80\x9cThey will not receive cards or hugs this Mother\xe2\x80\x99s Day from the children they lost at Marjory Stoneman Douglas High School on Valentine's Day.\xe2\x80\x9d \n\nThree months later, we continue the fight for #NeverAgain \n\nhttps://t.co/e9BzTf4SmK""",NeverAgain,903,2018,D
0,b'Always enjoy visiting w/ @stribdiaz on my latest efforts in Congress. #stribpol #Edworkforce #mnleg http://t.co/g4DwfhLpjx',stribpol Edworkforce mnleg,1,2013,R
2,b'Today\xe2\x80\x99s #CFPB decision is a win for consumers &amp; for our constitutional system of checks and balances. https://t.co/V3wWRxcXvd',CFPB,0,2016,R
19,"b'As investigations into hacking, bank fraud, pay-for-play (and more) continue, House Democrat servers go MISSING. @HillaryClinton servers WIPED. FBI access to DNC servers DENIED. Disappearance, destruction of evidence abounds -- but Mueller gang targeting Trump! #ExcusesExcuses'",ExcusesExcuses,14,2018,R
4,"b'At the #Milton Town Meeting, I provided a #DC update highlighting the #AIMAct &amp; the impact of airplane overflights. https://t.co/PwKN5X1Eaq'",Milton DC AIMAct,1,2016,D
8,b'@uniteky Good luck this week at Camp UNITE! Lead the way! #UNITEStrong #BeTheImpact #DrugFree @nihale1956 @UNITENarc @destinihope24',UNITEStrong BeTheImpact DrugFree,4,2014,R
1,"b'There are, count them, exactly 32 legislative days until the Ex-Im Bank expires. #ExIm4Jobs'",ExIm4Jobs,1,2015,D
8,b'It is time to deliver the care our veterans deserve and pass the Veterans First Act. #passVets1stAct #mtpol',passVets1stAct mtpol,8,2016,D
1490,"b'""About 28 million Americans would benefit if we raised the minimum wage to $10.10."" \xe2\x80\x94President Obama #RaiseTheWage'",RaiseTheWage,946,2014,D
2,"b'As a strong supporter of CO\xe2\x80\x99s #aerospace industry, I\xe2\x80\x99m proud to have secured $2.7B for #CO-based space projects: http://t.co/Wivy9kRZuq'",aerospace CO,4,2014,D
8,"b'I agree w #President Obama - gun safety proposals, including my bill to ban high-capacity magazines, deserve votes in #Congress.'",President Congress,17,2013,D
70,"b'We honor the memories of the millions who died serving our country, fighting for the American people, democracy &amp; freedom. #MemorialDay'",MemorialDay,10,2017,D
0,b'The #NDAA is important for the tens of thousands of military personnel &amp; families in #CO &amp; our nat\xe2\x80\x99l security. http://t.co/qjSpC614',NDAA CO,1,2012,D
1,b'A proud Tennessee tradition: the Moon Pie &amp; RC Cola Festival! #TN04 http://t.co/b4lEy6nIBu',TN04,2,2013,R
374,"b""Good luck today @JMUFootball! I'll be rooting for you with my jersey on. #GoDukes #BeatYSU @JMU @JMUSports https://t.co/rRp6ILwFQw""",GoDukes BeatYSU,121,2017,D
180,b'Proud of my colleagues for taking on this difficult task as impeachment managers. I am completely confident in their ability to present our case and hold this president accountable. #DefendOurDemocracy https://t.co/PNXf2d4ek2',DefendOurDemocracy,40,2020,D
3,"b""We're holding a hearing on the #BornAlive Abortion Survivors Protection Act today with expert witnesses on abortion procedures &amp; statistics. You can watch a live stream of the hearing here at 1:00 pm Eastern: https://t.co/lQk6XBSMyU #EndInfantcide https://t.co/6TIXQqM4sY""",BornAlive EndInfantcide,1,2019,R
18,"b""As co-chair&amp;founder of #Transparency Caucus, I'm pleased to host a briefing today w/ former Ethics Chief, @waltshaub https://t.co/6bdxafVvgt""",Transparency,8,2017,D
1,"b'It was an honor to meet #Missouri members of the @VFWHQ today in my Washington, D.C. office. https://t.co/vsEMp9tQ8g'",Missouri,0,2017,R
10,"b'\xc2\xa1Hoy es el #D\xc3\xadadelCenso! No tardar\xc3\xa1 mucho en completar el censo y es muy importante para nuestra comunidad. \xc3\x9anase a mi y llene su #Censo2020 hoy \xe2\x9e\xa1\xef\xb8\x8f https://t.co/paH2njSfwK \n\nCuando lo haga, no olvide incluir a *todos* en su hogar a partir del 1 de abril. https://t.co/WJIr2DeoAs'",DíadelCenso Censo2020,5,2020,D
64,b'House just passed my amdt ensuring families in #PuertoRico receive equal support under a fed prgm to help families. https://t.co/12b44zq72n',PuertoRico,18,2017,D
12,b'Thanks @23rdVeteran from Duluth for presenting your innovative program to treat Veterans #PTSD!\n\n(And a special thanks to Dexter the dog!) https://t.co/wPheS9grco',PTSD,1,2017,D
14,"b'Today on #PeaceDay we can be thankful to live in a nation where many have willingly paid the price for our freedom &amp; safety. I\xe2\x80\x99m grateful for recent actions taken by @realDonaldTrump to pursue peace w/ his monumental agreement normalizing relations with the UAE, Bahrain &amp; Israel.'",PeaceDay,4,,R
591,"b""Leader McConnell has got to do the right thing for the 9/11 first responders\n\nHe\xe2\x80\x99s meeting with them tomorrow\n\nHe should promise them, and all of us, that he'll put the victim compensation fund bill on the floor as soon as it passes the House. #Renew911VCF https://t.co/AgnvDObQ8R""",Renew911VCF,197,2019,D
